Número de proyecto,Clave del programa,Fondo,Clave de la entidad federativa,Entidad Federativa,Clave del municipio,Nombre del municipio,Nombre del proyecto,Monto aprobado
359,U128,PROYECTOS DE DESARROLLO REGIONAL,11,GUANAJUATO,15,GUANAJUATO,"PAVIMENTACIÓN DE LA CALLE MEZQUITE MOCHO EN LA COLONIA MARFIL, EN EL MUNICIPIO DE GUANAJUATO, GUANAJUATO","4,500,000"
360,U128,PROYECTOS DE DESARROLLO REGIONAL,11,GUANAJUATO,28,SALVATIERRA,"TECHADO DE CANCHA DE USOS MÚLTIPLES EN LA ESCUELA PRIMARIA AQUILES SERDÁN, EN EL MUNICIPIO DE SALVATIERRA, GUANAJUATO","2,200,000"
361,U128,PROYECTOS DE DESARROLLO REGIONAL,11,GUANAJUATO,28,SALVATIERRA,"CONSTRUCCIÓN DE MÓDULO DE SERVICIOS SANITARIOS EN EL CAMPO DEPORTIVO ALTAMIRANO, EN EL MUNICIPIO DE SALVATIERRA, GUANAJUATO","2,700,000"
362,U128,PROYECTOS DE DESARROLLO REGIONAL,11,GUANAJUATO,28,SALVATIERRA,"REHABILITACIÓN DE LA UNIDAD DEPORTIVA EN SANTO TOMÁS DE HUATZINDEO, EN EL MUNICIPIO DE SALVATIERRA, GUANAJUATO","4,470,000"
363,U128,PROYECTOS DE DESARROLLO REGIONAL,11,GUANAJUATO,15,GUANAJUATO,"REHABILITACIÓN INTEGRAL DEL MÓDULO DE SANITARIOS DE NIÑOS Y NIÑAS DEL JARDÍN DE NIÑOS BERTHA VON GLUMER. CERRO DE LOS LEONES S/N, EN EL MUNICIPIO DE GUANAJUATO, GUANAJUATO","300,000"
364,U128,PROYECTOS DE DESARROLLO REGIONAL,11,GUANAJUATO,8,MANUEL DOBLADO,"REHABILITACIÓN DE LA DEPORTIVA MUNICIPAL EN LA COLONIA OBREGÓN, EN EL MUNICIPIO DE MANUEL DOBLADO, GUANAJUATO","3,000,000"
365,U128,PROYECTOS DE DESARROLLO REGIONAL,11,GUANAJUATO,5,APASEO EL GRANDE,"REHABILITACIÓN DE LA UNIDAD DEPORTIVA. 1A ETAPA, EN EL MUNICIPIO DE APASEO EL GRANDE, GUANAJUATO","3,000,000"
366,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,999,COBERTURA ESTATAL,PROYECTOS DE INFRAESTRUCTURA EN EL ESTADO DE PUEBLA,"400,000,000"
367,U128,PROYECTOS DE DESARROLLO REGIONAL,30,VERACRUZ,87,XALAPA,"CONSTRUCCIÓN DE 6 AULAS, ESCUELA TELE BACHILLERATO CHILTOYAC C.C.T 30ETH0068C, AV. 20 DE NOVIEMBRE S/N COL. CENTRO C.P. 91210 CHILTOYAC, EN XALAPA, VERACRUZ DE IGNACIO DE LA LLAVE","1,670,210"
368,U128,PROYECTOS DE DESARROLLO REGIONAL,30,VERACRUZ,87,XALAPA,"BARDA PERIMETRAL, ESCUELA PRIMARIA JOSÉ VASCONCELOS C.C.T 30EPR3646Z, LÁZARO CÁRDENAS S/N, EN XALAPA, VERACRUZ DE IGNACIO DE LA LLAVE","1,180,758"
369,U128,PROYECTOS DE DESARROLLO REGIONAL,13,HIDALGO,15,CARDONAL,"CONSTRUCCIÓN DE TECHADO DE CANCHA DE USOS MÚLTIPLES EN ESCUELA PRIMARIA "" EMILIANO ZAPATA"". POZUELOS, CARDONAL, HIDALGO","1,223,487"
370,U128,PROYECTOS DE DESARROLLO REGIONAL,13,HIDALGO,15,CARDONAL,"CONSTRUCCIÓN DE TECHADO DE CANCHA DE USOS MÚLTIPLES EN ESCUELA TELESECUNDARIA 606, SAN MIGUEL JIGUI, CARDONAL, HIDALGO","1,520,443"
371,U128,PROYECTOS DE DESARROLLO REGIONAL,13,HIDALGO,15,CARDONAL,"CONSTRUCCIÓN DE TECHADO DE CANCHA DE USOS MÚLTIPLES EN ESCUELA PRIMARIA "" LIC. JESÚS ZENIL"", CABECERA MUNICIPAL, CARDONAL, C.P. 42370, HIDALGO","1,520,443"
372,U128,PROYECTOS DE DESARROLLO REGIONAL,13,HIDALGO,15,CARDONAL,"CONSTRUCCIÓN DE TECHADO DE CANCHA DE USOS MÚLTIPLES EN ESCUELA ""JOSÉ MARÍA MORELOS Y PAVÓN"", EL BINGÚ, HIDALGO","1,409,921"
373,U128,PROYECTOS DE DESARROLLO REGIONAL,13,HIDALGO,15,CARDONAL,"CONSTRUCCIÓN DE TECHADO DE CANCHA DE USOS MÚLTIPLES EN ESCUELA PRIMARIA, "" FRANCISCO VILLA"", SAN ANTONIO SABANILLAS, C.P. 42370, EN CARDONAL, HIDALGO","1,223,487"
374,U128,PROYECTOS DE DESARROLLO REGIONAL,13,HIDALGO,15,CARDONAL,"CONSTRUCCIÓN DE TECHADO DE CANCHA DE USOS MÚLTIPLES EN ESCUELA PRIMARIA, "" MIGUEL HIDALGO"", SAN MIGUEL TLAZINTLA, C.P. 42370, EN CARDONAL, HIDALGO","1,223,487"
375,U128,PROYECTOS DE DESARROLLO REGIONAL,13,HIDALGO,15,CARDONAL,"CONSTRUCCIÓN DE TECHADO DE USOS MÚLTIPLES EN ESCUELA SECUNDARIA 55, EL DEJAN, CARDONAL, C.P. 42370. , HIDALGO","1,223,487"
376,U128,PROYECTOS DE DESARROLLO REGIONAL,13,HIDALGO,15,CARDONAL,"CONSTRUCCIÓN DE CANCHA DE USOS MÚLTIPLES EN ESCUELA PRIMARIA, ""LÁZARO CÁRDENAS"", EL DECA, C.P. 42370, EN CARDONAL, HIDALGO","1,223,487"
377,U128,PROYECTOS DE DESARROLLO REGIONAL,13,HIDALGO,15,CARDONAL,"CONSTRUCCIÓN DE TECHADO DE CANCHA DE USOS MÚLTIPLES EN ESCUELA PRIMARIA ""AÑO DE ZARAGOZA"", SAN ANDRÉS DABOXTHA, CARDONAL, C.P. 42370, EN CARDONAL, HIDALGO","1,223,487"
378,U128,PROYECTOS DE DESARROLLO REGIONAL,15,MÉXICO,60,NICOLÁS ROMERO,"CONSTRUCCIÓN DE TECHUMBRE EN ESCUELA PRIMARIA JUAN ESCUTIA, BARRÓN CENTRO, EN NICOLÁS ROMERO, EN EL ESTADO DE MÉXICO","1,068,360"
379,U128,PROYECTOS DE DESARROLLO REGIONAL,15,MÉXICO,60,NICOLÁS ROMERO,"CONSTRUCCIÓN DE TECHUMBRE EN ESCUELA PRIMARIA BENITO JUÁREZ, EN MAGU CENTRO, EN NICOLÁS ROMERO, EN EL ESTADO DE MÉXICO","1,008,000"
380,U128,PROYECTOS DE DESARROLLO REGIONAL,15,MÉXICO,60,NICOLÁS ROMERO,"CONSTRUCCIÓN DE ARCOTECHO EN JARDÍN DE NIÑOS JULIÁN CARRILLO; BARRIO MIRANDA. AV. PRINCIPAL, NICOLÁS ROMERO, MÉXICO","750,000"
381,U128,PROYECTOS DE DESARROLLO REGIONAL,15,MÉXICO,60,NICOLÁS ROMERO,"CONSTRUCCIÓN DE TECHUMBRE EN ESCUELA SECUNDARIA TÉCNICA RAFAEL RAMÍREZ, EN PUENTECILLAS CAHUACÁN, EN NICOLÁS ROMERO, EN EL ESTADO DE MÉXICO","1,550,000"
382,U128,PROYECTOS DE DESARROLLO REGIONAL,15,MÉXICO,81,TECÁMAC,"CONSTRUCCIÓN DE ARCOTECHO EN ESCUELA SEC. TEC.199 ""MIGUEL DE CERVANTES SAAVEDRA"", CASTAÑO S/N, STA. SECC. VILLA DEL REAL, EN TECÁMAC, EN EL ESTADO DE MÉXICO","1,329,999"
383,U128,PROYECTOS DE DESARROLLO REGIONAL,15,MÉXICO,81,TECÁMAC,"CONSTRUCCIÓN DE ARCOTECHO EN ESCUELA SEC.211, PUSKIN Y AV. JARDINES S/N HÉROES DE TECÁMAC, MÉXICO. C.P. 55764","1,329,999"
384,U128,PROYECTOS DE DESARROLLO REGIONAL,15,MÉXICO,81,TECÁMAC,"CONSTRUCCIÓN DE ARCOTECHO EN ESCUELA JARDÍN DE NIÑOS, ""FRANCISCO GABILONDO SOLER"", FRANCISCO VILLA MZ101 HÉROES DE TECÁMAC, MÉXICO","1,329,999"
385,U128,PROYECTOS DE DESARROLLO REGIONAL,15,MÉXICO,81,TECÁMAC,"CONSTRUCCIÓN DE ARCOTECHO ESCUELA PRIMARIA ""BELISARIO DOMÍNGUEZ"", JACARANDAS Y CIRUELOS S/N, OJO DE AGUA, EN TECÁMAC, EN EL ESTADO DE MÉXICO","1,329,999"
386,U128,PROYECTOS DE DESARROLLO REGIONAL,15,MÉXICO,81,TECÁMAC,"CONSTRUCCIÓN DE ARCOTECHO ESCUELA SEC. TEC 226 "" PABLO LATAPI SARRE"", BOSQUE DE MORAS M8 L1, CONJUNTO HABITACIONAL "" HACIENDAS DEL BOSQUE, RANCHO SAN NICOLÁS LA REDONDA, C.P. 55745 , EN TECÁMAC, EN EL ESTADO DE MÉXICO","1,329,999"
387,U128,PROYECTOS DE DESARROLLO REGIONAL,15,MÉXICO,81,TECÁMAC,"CONSTRUCCIÓN DE ARCOTECHO ESCUELA PRIMARIA "" MARÍA MONTESSORI"", CAMINO A SAN JUAN TEOTIHUACÁN S/N FRACCIÓN SANTA CRUZ, EN TECÁMAC, EN EL ESTADO DE MÉXICO","1,329,999"
388,U128,PROYECTOS DE DESARROLLO REGIONAL,15,MÉXICO,81,TECÁMAC,"CONSTRUCCIÓN DE ARCOTECHO ESCUELA SEC. ""EFRÉN REBOLLEDO"", AV. DE LOS COLEGIOS S/N SN FCO CUAUTLIQUIXCA, TECÁMAC, MÉXICO","1,329,999"
389,U128,PROYECTOS DE DESARROLLO REGIONAL,15,MÉXICO,81,TECÁMAC,"CONSTRUCCIÓN DE ARCOTECHO ESCUELA BACHILLERATO, ""CONALEP 238"", TEMASCALCINGO S/N COL. SAN JOSÉ HUEYOTENGO, EN TECÁMAC, EN EL ESTADO DE MÉXICO","1,329,999"
390,U128,PROYECTOS DE DESARROLLO REGIONAL,15,MÉXICO,81,TECÁMAC,"CONSTRUCCIÓN DE ARCOTECHO ESCUELA GENERAL 39 ""FELIPE VILLANUEVA"", CIRUELOS S/N FRACCIÓN OJO DE AGUA, EN TECÁMAC, EN EL ESTADO DE MÉXICO","1,329,999"
391,U128,PROYECTOS DE DESARROLLO REGIONAL,15,MÉXICO,81,TECÁMAC,"CONSTRUCCIÓN DE ARCOTECHO ESCUELA PRIMARIA ""15 DE SEPTIEMBRE"", C. TRUENO MZ 17 LT 1 FRACCIÓN VILLA DEL REAL, 6A. SECCIÓN, EN TECÁMAC, EN EL ESTADO DE MÉXICO","1,329,999"
392,U128,PROYECTOS DE DESARROLLO REGIONAL,15,MÉXICO,81,TECÁMAC,"CONSTRUCCIÓN DE ARCOTECHO ESCUELA PRIMARIA ""CARLOS PELLICER CÁMARA"", SOR JUANA INÉS DE LA CRUZ S/N COL. LA PALMA, LOS REYES ACOZAC, EN TECÁMAC, EN EL ESTADO DE MÉXICO","1,330,000"
393,U128,PROYECTOS DE DESARROLLO REGIONAL,15,MÉXICO,81,TECÁMAC,"CONSTRUCCIÓN DE ARCOTECHO ESCUELA BACHILLERATO, ""CECYTEM"", CARR. FED. MÉXICO - PACHUCA KM 38.5 RANCHO SAN AGUSTÍN, EL LLANO, EN TECÁMAC, EN EL ESTADO DE MÉXICO","1,330,000"
394,U128,PROYECTOS DE DESARROLLO REGIONAL,15,MÉXICO,81,TECÁMAC,"CONSTRUCCIÓN DE ARCOTECHO ESCUELA BACHILLERATO, ""CBT NO 4"" BOSQUES DE FRANCIA MZ 1 LT 3 HÉROES TECÁMAC, EN TECÁMAC, EN EL ESTADO DE MÉXICO","1,330,000"
395,U128,PROYECTOS DE DESARROLLO REGIONAL,15,MÉXICO,81,TECÁMAC,"CONSTRUCCIÓN DE ARCOTECHO ESCUELA DE EDUCACIÓN ESPECIAL, CAM 42 "" JOSÉ CLEMENTE OROZCO"" AV. JALISCO S/N LOMA BONITA, EN TECÁMAC, EN EL ESTADO DE MÉXICO","1,330,000"
396,U128,PROYECTOS DE DESARROLLO REGIONAL,15,MÉXICO,122,VALLE DE CHALCO SOLIDARIDAD,"CONSTRUCCIÓN DE TECHUMBRE, CECATI 196, COL. SANTA CRUZ AV. IGNACIO COMONFORT N° 344, EN VALLE DE CHALCO SOLIDARIDAD, EN EL ESTADO DE MÉXICO","1,812,510"
397,U128,PROYECTOS DE DESARROLLO REGIONAL,15,MÉXICO,122,VALLE DE CHALCO SOLIDARIDAD,"CONSTRUCCIÓN DE TECHUMBRE, ESCUELA SECUNDARIA TÉCNICA 107 REVOLUCIÓN MEXICANA, COL. CONCEPCIÓN AV. LERDO DE TEJADA ESQUINA PONIENTE 4, EN VALLE DE CHALCO SOLIDARIDAD, EN EL ESTADO DE MÉXICO","1,147,671"
398,U128,PROYECTOS DE DESARROLLO REGIONAL,15,MÉXICO,92,TEOTIHUACÁN,"CONSTRUCCIÓN DE ARCOTECHO EN CETIS 141 ""DR. MANUEL GAMIO"" UBICADO EN AV. JIMÉNEZ CANTÚ Y AV. SAN JUAN, TEOTIHUACÁN, MÉXICO","1,000,000"
399,U128,PROYECTOS DE DESARROLLO REGIONAL,26,SONORA,66,URES,"PAVIMENTACIÓN CON CONCRETO HIDRÁULICO EN CALLE MORELOS ENTRE LAFONTAINE Y AV. ISLAS, EN URES, EN EL ESTADO DE SONORA","1,001,613"
400,U128,PROYECTOS DE DESARROLLO REGIONAL,26,SONORA,50,RAYÓN,"PAVIMENTACIÓN CON CONCRETO HIDRÁULICO EN CALLE CERRO DE ORO, EN RAYÓN, EN EL ESTADO DE SONORA","1,680,770"
401,U128,PROYECTOS DE DESARROLLO REGIONAL,26,SONORA,44,ONAVAS,"PAVIMENTACIÓN CON CONCRETO HIDRÁULICO EN CALLES: MATAMOROS, MÉXICO Y MORELOS, EN ONAVAS, EN EL ESTADO DE SONORA","1,496,263"
402,U128,PROYECTOS DE DESARROLLO REGIONAL,26,SONORA,62,SUAQUI GRANDE,"PAVIMENTACIÓN CON CONCRETO HIDRÁULICO EN CALLES: NUEVO LEÓN, ORTIZ, ABELARDO L. RODRÍGUEZ, NO REELECCIÓN Y CAMARGO, EN SUAQUI GRANDE, EN EL ESTADO DE SONORA","1,176,975"
403,U128,PROYECTOS DE DESARROLLO REGIONAL,26,SONORA,24,DIVISADEROS,"PAVIMENTACIÓN CON CONCRETO HIDRÁULICO EN CALLE PLUTARCO ELÍAS CALLES, EN DIVISADEROS, EN EL ESTADO DE SONORA","3,181,114"
404,U128,PROYECTOS DE DESARROLLO REGIONAL,26,SONORA,45,OPODEPE,"CONSTRUCCIÓN DE CANCHA DE FUTBOL 7 Y GIMNASIO AL AIRE LIBRE, EN OPODEPE, EN EL ESTADO DE SONORA","3,105,792"
405,U128,PROYECTOS DE DESARROLLO REGIONAL,7,CHIAPAS,51,MAPASTEPEC,"CONSTRUCCIÓN DE DOMO, CERCO PERIMETRAL Y BAÑOS EN ESCUELA TELESECUNDARIA 415 ""SIMÓN BOLIVAR"", EN MAPASTEPEC, EN EL ESTADO DE CHIAPAS","1,170,851"
406,U128,PROYECTOS DE DESARROLLO REGIONAL,7,CHIAPAS,49,LARRÁINZAR,"CONSTRUCCIÓN Y TECHADO DE CANCHA DE USOS MÚLTIPLES EN ESCUELA PRIMARIA BILINGÜE ""FELIPE ÁNGELES"", EN LARRÁINZAR, EN EL ESTADO DE CHIAPAS","1,977,248"
407,U128,PROYECTOS DE DESARROLLO REGIONAL,7,CHIAPAS,49,LARRÁINZAR,"TECHADO DE CANCHA DE USOS MÚLTIPLES EN LA ESCUELA SECUNDARIA #57, EN LARRÁINZAR, EN EL ESTADO DE CHIAPAS","1,492,526"
408,U128,PROYECTOS DE DESARROLLO REGIONAL,7,CHIAPAS,49,LARRÁINZAR,"TECHADO DE CANCHA DE USOS MÚLTIPLES EN LA ESCUELA PRIMARIA ""MANUEL ÁVILA CAMACHO"", EN LARRÁINZAR, EN EL ESTADO DE CHIAPAS","1,492,526"
409,U128,PROYECTOS DE DESARROLLO REGIONAL,7,CHIAPAS,74,REFORMA,"CONSTRUCCIÓN DE TECHO EN ESPACIOS PÚBLICOS. COL. BENITO JUÁREZ, ESCUELA LEYES DE REFORMA, EN REFORMA, EN EL ESTADO DE CHIAPAS","2,343,968"
410,U128,PROYECTOS DE DESARROLLO REGIONAL,7,CHIAPAS,49,LARRÁINZAR,"TECHADO DE CANCHA DE USOS MÚLTIPLES EN EL COLEGIO BACHILLERES DE CHIAPAS PLANTEL 60, EN LARRÁINZAR, EN EL ESTADO DE CHIAPAS","1,492,530"
411,U128,PROYECTOS DE DESARROLLO REGIONAL,7,CHIAPAS,49,LARRÁINZAR,"CONSTRUCCIÓN DE TECHADO DE CANCHA DE USOS MÚLTIPLES EN LA ESCUELA PRIMARIA MANUEL GARZA ALDAPE, EN LARRÁINZAR, EN EL ESTADO DE CHIAPAS","2,052,640"
412,U128,PROYECTOS DE DESARROLLO REGIONAL,17,MORELOS,13,JONACATEPEC,"PAVIMENTACIÓN CALLE MADERO, EN JONACATEPEC, EN EL ESTADO DE MORELOS","2,000,000"
413,U128,PROYECTOS DE DESARROLLO REGIONAL,17,MORELOS,16,OCUITUCO,"PAVIMENTACIÓN DE CONCRETO HIDRÁULICO EN CALLE CERRITO COLORADO, EN OCUITUCO, EN EL ESTADO DE MORELOS","2,000,000"
414,U128,PROYECTOS DE DESARROLLO REGIONAL,17,MORELOS,16,OCUITUCO,"REHABILITACIÓN DE CALLE FELIPE BERRIOZABAL OCUITUCO CENTRO, EN OCUITUCO, EN EL ESTADO DE MORELOS","2,000,000"
415,U128,PROYECTOS DE DESARROLLO REGIONAL,17,MORELOS,16,OCUITUCO,"PAVIMENTACIÓN CON CONCRETO HIDRÁULICO CALLE TLACOATZINGO, EN OCUITUCO, EN EL ESTADO DE MORELOS","2,000,000"
416,U128,PROYECTOS DE DESARROLLO REGIONAL,29,TLAXCALA,25,SAN PABLO DEL MONTE,"PAVIMENTO DE ADOQUÍN DEFENSORES DE LA REPÚBLICA, EN SAN PABLO DEL MONTE, EN EL ESTADO DE TLAXCALA","3,500,000"
417,U128,PROYECTOS DE DESARROLLO REGIONAL,20,OAXACA,334,VILLA DE TUTUTEPEC DE MELCHOR OCAMPO,"PAVIMENTACIÓN Y GUARNICIONES, COLONIA CUAUHTÉMOC RIO GRANDE, EN VILLA DE TUTUTEPEC DE MELCHOR OCAMPO, EN EL ESTADO DE OAXACA","2,480,023"
418,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,37,SOTO LA MARINA,"MODERNIZACIÓN DE ACCESO VIAL A SOTO LA MARINA, TAMAULIPAS","21,334,806"
419,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,37,SOTO LA MARINA,"PAVIMENTACIÓN CONCRETO HIDRÁULICO, CALLE ANTONIO CASO E/ CARRETERA NACIONAL Y CALLE REFORMA, EN EL MUNICIPIO DE SOTO LA MARINA, TAMAULIPAS","7,090,418"
420,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,37,SOTO LA MARINA,"PAVIMENTACIÓN CONCRETO HIDRÁULICO, CALLE 16 DE SEPTIEMBRE E/ CARR LA PESCA Y C. ABASOLO, EN EL MUNICIPIO DE SOTO LA MARINA, TAMAULIPAS","4,011,669"
421,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,37,SOTO LA MARINA,"PAVIMENTACIÓN CONCRETO HIDRÁULICO, CALLE ABASOLO E/ 20 DE NOVIEMBRE Y CANAL LATERAL CABECERA MUNICIPAL, EN EL MUNICIPIO DE SOTO LA MARINA, TAMAULIPAS","2,915,544"
422,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,37,SOTO LA MARINA,"PAVIMENTACIÓN CONCRETO HIDRÁULICO PROLONG CALLE ABASOLO E/ FRANCISCO SARABIA Y BLVD ENRIQUE CÁRDENAS, EN EL MUNICIPIO DE SOTO LA MARINA, TAMAULIPAS","1,141,512"
423,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,37,SOTO LA MARINA,"PAVIMENTACIÓN CONCRETO HIDRÁULICO, CALLE 20 DE NOVIEMBRE DE CARR LA PESCA A CRUCERO CON ABASOLO, EN EL MUNICIPIO DE SOTO LA MARINA, TAMAULIPAS","4,407,650"
424,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,37,SOTO LA MARINA,"PAVIMENTACIÓN CONCRETO HIDRÁULICO, CALLE JESÚS GARCÍA DESDE CARR NACIONAL A CRUCE C/VICENTE, EN EL MUNICIPIO DE SOTO LA MARINA, TAMAULIPAS","3,444,591"
425,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,37,SOTO LA MARINA,"PAVIMENTACIÓN CONCRETO HIDRÁULICO, CALLE XICOTÉNCATL E/ JUSTO SIERRA Y CARRETERA NACIONAL, EN EL MUNICIPIO DE SOTO LA MARINA, TAMAULIPAS","3,618,396"
426,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,37,SOTO LA MARINA,"PAVIMENTACIÓN CONCRETO HIDRÁULICO, CALLES MELCHOR OCAMPO, VICENTE GUERRERO E IGNACIO, EN EL MUNICIPIO DE SOTO LA MARINA, TAMAULIPAS","4,145,837"
427,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,37,SOTO LA MARINA,"PAVIMENTACIÓN CONCRETO HIDRÁULICO, CALLES NARCISO MENDOZA E/HNOS. E IMSS Y VICENTE GUERRERO, EN EL MUNICIPIO DE SOTO LA MARINA, TAMAULIPAS","2,551,578"
428,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,37,SOTO LA MARINA,"PAVIMENTACIÓN CONCRETO HIDRÁULICO, CALLES FCO SARABIA E/CAR RAYONES Y COBAT; PEDRO J. MÉNDEZ E, EN EL MUNICIPIO DE SOTO LA MARINA, TAMAULIPAS","1,776,212"
429,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,37,SOTO LA MARINA,"PAVIMENTACIÓN CONCRETO HIDRÁULICO, CALLES PORFIRIO SALAZAR, FELIPE DE LA GARZA, HIDALGO, GUADALUPE; EN EL MUNICIPIO DE SOTO LA MARINA, TAMAULIPAS","3,163,112"
430,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,37,SOTO LA MARINA,"PAVIMENTACIÓN CONCRETO HIDRÁULICO, CALLE AGUSTÍN MELGAR E/XICOTÉNCATL Y JESÚS GARCÍA, EN EL MUNICIPIO DE SOTO LA MARINA, TAMAULIPAS","2,147,982"
431,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,18,JIMÉNEZ,"CONSTRUCCIÓN CASA DE LA CULTURA, EN EL MUNICIPIO DE JIMÉNEZ, TAMAULIPAS","3,960,994"
432,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,39,TULA,"RED DE DRENAJE SANITARIO EN BARRIO LOS CHARCOS, EN EL MUNICIPIO DE TULA, TAMAULIPAS","5,049,661"
433,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,39,TULA,"RED DE DRENAJE SANITARIO EN EJIDO MIGUEL HIDALGO, EN EL MUNICIPIO DE TULA, TAMAULIPAS","5,049,661"
434,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,39,TULA,"RED DE DRENAJE SANITARIO EN EJIDO MAGDALENO CEDILLO, EN EL MUNICIPIO DE TULA, TAMAULIPAS","4,049,661"
435,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,39,TULA,"RED DE DRENAJE SANITARIO EN EJIDO TANQUE BLANCO, EN EL MUNICIPIO DE TULA, TAMAULIPAS","4,049,661"
436,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,39,TULA,"RED DE DRENAJE SANITARIO EN EJIDO LÁZARO CÁRDENAS, EN EL MUNICIPIO DE TULA, TAMAULIPAS","4,049,662"
437,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,39,TULA,"RED DE DRENAJE SANITARIO EN EJIDO MAMALEÓN, EN EL MUNICIPIO DE TULA, TAMAULIPAS","4,020,662"
438,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,39,TULA,"RED DE DRENAJE SANITARIO EN EJIDO SAN JUAN Y EJIDO CELSO HUERTA, EN EL MUNICIPIO DE TULA, TAMAULIPAS","4,011,662"
439,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,39,TULA,"RED DE DRENAJE SANITARIO EN SAN ANTONIO DE NAHOLA, EN EL MUNICIPIO DE TULA, TAMAULIPAS","4,009,661"
440,U128,PROYECTOS DE DESARROLLO REGIONAL,2,BAJA CALIFORNIA,4,TIJUANA,"NODO VIAL, AV. 20 DE NOVIEMBRE Y PROLONGACIÓN PASEO DE LOS HÉROES Y SUS AFECTACIONES, EN EL MUNICIPIO DE TIJUANA, BAJA CALIFORNIA","91,000,000"
441,U128,PROYECTOS DE DESARROLLO REGIONAL,2,BAJA CALIFORNIA,4,TIJUANA,"MODERNIZACIÓN DEL TRAMO CARRETERO TIJUANA-PLAYAS DE ROSARITO, EN EL MUNICIPIO DE TIJUANA, BAJA CALIFORNIA","19,000,000"
442,U128,PROYECTOS DE DESARROLLO REGIONAL,2,BAJA CALIFORNIA,5,PLAYAS DE ROSARITO,"CONSTRUCCIÓN DE LIGA BOULEVARD SHARP-CENTRO DE CONVENCIONES DE PLAYAS DE ROSARITO, EN EL MUNICIPIO DE PLAYAS DE ROSARITO, BAJA CALIFORNIA","60,000,000"
443,U128,PROYECTOS DE DESARROLLO REGIONAL,2,BAJA CALIFORNIA,5,PLAYAS DE ROSARITO,"AMPLIACIÓN PUENTE MACHADO, EN EL MUNICIPIO DE PLAYAS DE ROSARITO, BAJA CALIFORNIA","60,000,000"
444,U128,PROYECTOS DE DESARROLLO REGIONAL,2,BAJA CALIFORNIA,5,PLAYAS DE ROSARITO,"CONSTRUCCIÓN DE 1A ETAPA DE MALECÓN, PLAYA DE ROSARITO, BAJA CALIFORNIA","70,000,000"
445,U128,PROYECTOS DE DESARROLLO REGIONAL,3,BAJA CALIFORNIA SUR,2,MULEGÉ,"REHABILITACIÓN DEL ESTADIO DE FUTBOL DE VETERANOS ANTONINO ARCINIEGA MUÑOZ EN LA COLONIA RANCHERÍA EN STA. ROSALIA MUNICIPIO DE MULEGÉ, BAJA CALIFORNIA SUR","10,000,000"
446,U128,PROYECTOS DE DESARROLLO REGIONAL,27,TABASCO,6,CUNDUACÁN,"PAVIMENTACIÓN A BASE DE MEZCLA ASFÁLTICA EN EL MUNICIPIO DE CUNDUACÁN, EN TABASCO","10,000,000"
447,U128,PROYECTOS DE DESARROLLO REGIONAL,31,YUCATÁN,999,COBERTURA ESTATAL,"CONSTRUCCIÓN DEL ""CENTRO DE LA TROVA YUCATECA"", EN EL ESTADO DE YUCATÁN","40,000,000"
448,U128,PROYECTOS DE DESARROLLO REGIONAL,31,YUCATÁN,68,SINANCHÉ,"CONSTRUCCIÓN DE CANCHA DE USOS MÚLTIPLES EN EL MUNICIPIO DE SINANCHÉ, YUCATÁN","3,000,000"
449,U128,PROYECTOS DE DESARROLLO REGIONAL,9,DISTRITO FEDERAL,10,ÁLVARO OBREGÓN,"CONSTRUCCIÓN DE GUARNICIONES Y BANQUETAS EN DIVERSAS COLONIAS DEL PERIMETRO DELEGACIONAL, EN ÁLVARO OBREGÓN, DISTRITO FEDERAL","10,000,000"
