Número de proyecto,Clave del programa,Fondo,Clave de la entidad federativa,Entidad Federativa,Clave del municipio,Nombre del municipio,Nombre del proyecto,Monto aprobado,Pagado,
1782,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,10,DURANGO,5,DURANGO,"PROGRAMA DE MANTENIMIENTO VIAL  EN COL. HIPODROMO Y FRACC. EL HUIZACHE DE LA CIUDAD DE DURANGO, DGO","1,450,000.00","717,025.00",
1783,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,10,DURANGO,5,DURANGO,"CONSTRUCCION DE BARDA PERIMETRAL EN ESCUELA PRIMARIA FEDERAL FERNANDO MONTES DE OCA UBICADA EN C. HACIENDA DE SUCHIL ENTRE C. HACIENDA SANTA BARBARA Y C. HACIENDA DE LA FERRERIA FRACC. HACIENDAS, C.P. 34238 DURANGO, DGO.CON CLAVE DE CENTRO DE TRABAJO (C.C.T.) 10DPR1491O","240,000.00","118,680.00",
1784,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,10,DURANGO,5,DURANGO,"CONSTRUCCION DE MODULO DE SERVICIOS SANITARIOS EN LA ESCUELA PRIMARIA RICARDO CASTRO UBICADA EN C. GENERAL VICENTE GUERRERO S/N, ENTRE C. BANDERAS Y C. PRIMERA DEL PARQUE COL. INSURGENTES, C.P. 34130 DURANGO, DGO. CON CLAVE DE  CENTRO DE  TRABAJO (C.C.T.) 10DPR0487V","850,000.00","420,325.00",
1785,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,10,DURANGO,5,DURANGO,"CONSTRUCCIÓN DE CANCHA DE USOS MÚLTIPLES Y TECHUMBRE EN POBLADO LA FERRERÍA EN EL MUNICIPIO DE  DURANGO, DGO ","1,300,000.00","642,850.00",
1786,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,10,DURANGO,5,DURANGO,"CONSTRUCCION DE TECHUMBRE EN ESTANCIA INFANTIL DEL STEUJE UBICADA EN C. UNIVERSIDAD ESQ. CON CARRETERA A MAZATLAN FRACC. CIUDAD DEPORTIVA C.P. 34100, DURANGO, DURANGO, CON CLAVE DE CENTRO DE TRABAJO (C.C.T.) 10UDI0001G","500,000.00","247,250.00",
1787,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,10,DURANGO,5,DURANGO,"CONSTRUCCION  BARDA PERIMETRAL EN  ESCUELA SECUNDARIA TECNICA NO. 61 UBICADA EN ZAPATILLA Y TULIPÁN S/N, ENTRE AV. FERROCARRIL Y C. FRAY VASCO DE QUIROGA, FRACC. JARDINES DE DURANGO, C.P. 34200 DURANGO, DGO.CON CLAVE DE CENTRO DE  TRABAJO (C.C.T.) 10DST0060D","140,000.00","69,230.00",
1788,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,10,DURANGO,5,DURANGO,"CONSTRUCCION DE CANCHA DE USOS MULTIPLES EN LA ESCUELA SECUNDARIA TECNICA NO. 57 UBICADA EN C. UXMAL S/N ENTRE C. XOCHITL Y C. TEPOZTLAN COL. AZCAPOTZALCO, C.P. 34160 DURANGO, DGO.CON CLAVE DE  CENTRO DE  TRABAJO (C.C.T.) 10DST0057Q","476,666.00","235,711.34",
1789,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,10,DURANGO,30,SAN PEDRO DEL GALLO,"CONSTRUCCIÓN  DE DOMO ARCOTECHO EN LA LOCALIDAD ""LOS ANGELES"".","1,026,000.00","507,357.00",
1790,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,10,DURANGO,30,SAN PEDRO DEL GALLO,"MODERNIZACIÓN DE CAMPO DE FUTBOL RÁPIDO, SAN PEDRO DEL GALLO, DGO.","1,274,000.00","629,993.00",
1791,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,10,DURANGO,30,SAN PEDRO DEL GALLO,"PAVIMENTACIÓN DE LA CALLE PRINCIPAL EN LA LOCALIDAD DE ""SANTO DOMINGO"".","1,596,000.00","789,222.00",
1792,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,10,DURANGO,30,SAN PEDRO DEL GALLO,"CONSTRUCCIÓN DE DOMO ARCOTECHO EN LA LOCALIDAD DE ""CUBA"".","1,026,000.00","507,357.00",
1793,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,10,DURANGO,30,SAN PEDRO DEL GALLO,"CONSTRUCCIÓN DE DOMO ARCOTECHO EN LA ESCUELA PRIMARIA PÚBLICA REVOLUCIÓN 1910 CON CLAVE 10EPR0232T EN LA LOCALIDAD DE ""EL CASCO"".","1,026,000.00","507,357.00",
1794,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,10,DURANGO,30,SAN PEDRO DEL GALLO,"CONSTRUCCIÓN DE DOMO ARCOTECHO EN LA LOCALIDAD ""BOQUILLA DE GERARDO"".","1,026,000.00","507,357.00",
1795,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,10,DURANGO,30,SAN PEDRO DEL GALLO,"CONSTRUCCIÓN DE DOMO ARCOTECHO EN LA LOCALIDAD DE ""PEÑOLES"".","1,026,000.00","507,357.00",
1796,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,10,DURANGO,25,SAN BERNARDO,"PAVIMENTO DE CONCRETO ASFALTICO EN CARRETERA SAN BERNARDO-OCAMPO
","5,000,000.00","2,472,500.00",
1797,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,10,DURANGO,25,SAN BERNARDO,CONSTRUCCIÓN DE TECHUMBRE EN ÁREAS DE IMPARTICIÓN DE EDUCACIÓN FÍSICA EN ESC. SECUNDARIA NO. 37 CLAVE 1ODST0037C EN SAN BERNARDO DGO,"700,000.00","346,150.00",
1798,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,10,DURANGO,7,GÓMEZ PALACIO,"CONSTRUCCIÓN DE DOMO EN ESCUELA PRIMARIA JESÚS GARCÍA, CLAVE SEP 10DPR0832O, LOCALIDAD ESTACIÓN VIÑEDO, MUNICIPIO DE GÓMEZ PALACIO, DURANGO.","667,000.00","329,831.50",
1799,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,10,DURANGO,7,GÓMEZ PALACIO,"CONSTRUCCIÓN DE DOMO EN CANCHA PÚBLICA, LOCALIDAD PASTOR ROUAIX, MUNICIPIO DE GÓMEZ PALACIO, DURANGO.","727,000.00","359,501.50",
1800,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,10,DURANGO,7,GÓMEZ PALACIO,"CONSTRUCCIÓN DE DOMO EN CANCHA PÚBLICA EN COL. SAN IGNACIO DE LA CIUDAD DE GÓMEZ PALACIO, DURANGO.","667,000.00","329,831.50",
1801,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,10,DURANGO,7,GÓMEZ PALACIO,"CONSTRUCCIÓN DE DOMO EN ESCUELA PRIMARIA JOSÉ MARÍA MORELOS, CLAVE SEP 10DPR1100J, LOCALIDAD CALIFORNIA, MUNICIPIO DE GÓMEZ PALACIO, DURANGO.","667,000.00","329,831.50",
1802,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,10,DURANGO,7,GÓMEZ PALACIO,"CONSTRUCCIÓN DE DOMO EN ESCUELA PRIMARIA LUIS DONALDO COLOSIO MURRIETA, COL. LUIS DONALDO COLOSIO CLAVE SEP 10EPR0427F, DE LA CIUDAD DE GÓMEZ PALACIO, DURANGO.","667,000.00","329,831.50",
1803,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,10,DURANGO,7,GÓMEZ PALACIO,"CONSTRUCCIÓN DE DOMO EN CANCHA PÚBLICA,  LOCALIDAD BUCARELI, MUNICIPIO DE GÓMEZ PALACIO, DURANGO.","667,000.00","329,831.50",
1804,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,10,DURANGO,7,GÓMEZ PALACIO,"CONSTRUCCIÓN DE DOMO EN CANCHA PÚBLICA, LOCALIDAD BRITTINGHAM, MUNICIPIO DE GÓMEZ PALACIO, DURANGO.","667,000.00","329,831.50",
1805,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,10,DURANGO,7,GÓMEZ PALACIO,"CONSTRUCCIÓN DE DOMO EN CANCHA PÚBLICA, LOCALIDAD EL VERGEL, MUNICIPIO DE GÓMEZ PALACIO, DURANGO.","667,000.00","329,831.50",
1806,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,10,DURANGO,7,GÓMEZ PALACIO,"CONSTRUCCIÓN DE DOMO EN CANCHA PÚBLICA, LOCALIDAD REFORMA, MUNICIPIO DE GÓMEZ PALACIO, DURANGO.","667,000.00","329,831.50",
1807,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,10,DURANGO,7,GÓMEZ PALACIO,"CONSTRUCCIÓN DE DOMO EN ESCUELA TELESECUNDARIA NO. 255,  LOCALIDAD LA LUZ, MUNICIPIO DE GÓMEZ PALACIO, DURANGO.","667,000.00","329,831.50",
1808,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,10,DURANGO,7,GÓMEZ PALACIO,"CONSTRUCCIÓN DE DOMO EN CANCHA COMUNITARIA DEL EJIDO EL VERGELITO, MUNICIPIO DE GÓMEZ PALACIO, DURANGO.","667,000.00","329,831.50",
1809,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,10,DURANGO,7,GÓMEZ PALACIO,"CONSTRUCCIÓN DE DOMO EN CANCHA PÚBLICA, LOCALIDAD EL CONSUELO, MUNICIPIO DE GÓMEZ PALACIO, DURANGO.","667,000.00","329,831.50",
1810,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,10,DURANGO,7,GÓMEZ PALACIO,"CONSTRUCCIÓN DE DOMO EN CANCHA PÚBLICA, LOCALIDAD PALO BLANCO, MUNICIPIO DE GÓMEZ PALACIO, DURANGO.","667,000.00","329,831.50",
1811,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,10,DURANGO,7,GÓMEZ PALACIO,"CONSTRUCCIÓN DE DOMO EN CANCHA PÚBLICA,  LOCALIDAD LA TEHUA, MUNICIPIO DE GÓMEZ PALACIO, DURANGO.","667,000.00","329,831.50",
1812,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,10,DURANGO,7,GÓMEZ PALACIO,"CONSTRUCCIÓN DE DOMO EN ESCUELA PRIMARIA TIERRA Y LIBERTAD, LOCALIDAD MANILA, MUNICIPIO DE GÓMEZ PALACIO, DURANGO.","667,000.00","329,831.50",
1813,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,10,DURANGO,7,GÓMEZ PALACIO,"CONSTRUCCIÓN DE DOMO EN CANCHA PÚBLICA,  LOCALIDAD EL QUEMADO, MUNICIPIO DE GÓMEZ PALACIO, DURANGO.","667,000.00","329,831.50",
1814,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,10,DURANGO,7,GÓMEZ PALACIO,"CONSTRUCCIÓN DE DOMO EN CANCHA PÚBLICA,  LOCALIDAD EL CASTILLO, MUNICIPIO DE GÓMEZ PALACIO, DURANGO.","667,000.00","329,831.50",
1815,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,10,DURANGO,7,GÓMEZ PALACIO,"CONSTRUCCIÓN DE DOMO EN CANCHA PÚBLICA, LOCALIDAD LA FLOR, MUNICIPIO DE GÓMEZ PALACIO, DURANGO.","667,000.00","329,831.50",
1816,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,10,DURANGO,7,GÓMEZ PALACIO,"CONSTRUCCIÓN DE DOMO EN CANCHA PÚBLICA, LOCALIDAD ABISINIA - DINAMITA, MUNICIPIO DE GÓMEZ PALACIO, DURANGO.","667,000.00","329,831.50",
1817,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,10,DURANGO,7,GÓMEZ PALACIO,"CONSTRUCCIÓN DE DOMO EN ESCUELA PRIMARIA PRIMERO DE MAYO EN EL EJIDO ARCINAS, MUNICIPIO DE GÓMEZ PALACIO, DURANGO.","667,000.00","329,831.50",
1818,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,10,DURANGO,12,LERDO,CONSTRUCCION DE DOMO PLAZA PRINCIPAL EJIDO 21 DE MARZO.,"546,561.50","270,274.66",
1819,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,10,DURANGO,12,LERDO,CONSTRUCCIÓN DE DOMO INSTITUTO TECNOLÓGICO SUPERIOR DE LERDO.,"1,122,352.90","555,003.51",
1820,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,10,DURANGO,12,LERDO,CONSTRUCCION DE DOMO ESC. PRIMARIA JOSE MARTI COL. CENTAURO DEL NORTE ,"484,537.52","239,603.80",
1821,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,10,DURANGO,12,LERDO,"CONSTRUCCION DE DOMO CUBIERTO CON MALLASOMBRA CENDI NO. 2 CD. LERDO, DGO.","943,799.72","466,708.96",
1822,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,10,DURANGO,12,LERDO,CONSTRUCCION DE DOMO ESCUELA PRIMARIA PRESIDENTE JUAREZ COL. NIÑOS HEROES.,"873,108.09","431,751.95",
1823,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,10,DURANGO,12,LERDO,CONSTRUCCION DEDOMO ESC.PRIM.CARLOS JONGITUD BARRIOS. COL. VILLA DE LAS FLORES.,"472,003.01","233,405.49",
1824,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,10,DURANGO,12,LERDO,"CONSTRUCCION DE DOMO ESCUELA PRIMARIA NIÑOS HEROES EJIDO SALAMANCA,DGO.","1,064,514.25","526,402.30",
1825,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,10,DURANGO,12,LERDO,CONSTRUCCION DE DOMO PLAZA PRINCIPAL EJIDO EL RAYO.,"546,561.50","270,274.66",
1826,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,10,DURANGO,12,LERDO,CONSTRUCCION DE DOMO CANCHA EN PLAZA PRINCIPAL EJIDO LOS ANGELES.,"546,561.50","270,274.66",
1827,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,10,DURANGO,23,PUEBLO NUEVO,"MODERNIZACIÓN DEL CAMPO DE BEISBOL JESÚS S. SILOS, EL SALTO, PUEBLO NUEVO DURANGO.","6,000,000.00","2,967,000.00",
1828,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,10,DURANGO,17,OCAMPO,"CONSTRUCCIÓN DE DOMO, ENCINO DE LA PAZ, DURANGO","1,140,000.00","563,730.00",
1829,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,10,DURANGO,17,OCAMPO,"CONSTRUCCIÓN DE CAMPO DE FUTBOL 7, TORREÓN DE CAÑAS, DURANGO.","2,999,996.00","1,483,498.02",
1830,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,10,DURANGO,17,OCAMPO,"CONSTRUCCIÓN DE CAMPO DE FUTBOL SOCCER, LAS NIEVES, DURANGO.","6,323,076.00","3,126,761.09",
1831,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,10,DURANGO,17,OCAMPO,"PAVIMENTACIÓN DE CALLE FELIPE ÁNGELES, LAS NIEVES, DURANGO.","1,536,928.00","760,010.89",
1832,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,10,DURANGO,10,HIDALGO,"CONSTRUCCIÓN DE CANCHA DE USOS MULTIPLES, ESCUELA PRIMARIA GENARO GODINA CON CLAVE 10DPR094W, LOCALIDAD DE LAS PLAYAS, HIDALGO, DURANGO","449,320.00","222,188.74",
1833,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,10,DURANGO,10,HIDALGO,"CONSTRUCCIÓN DE CANCHA DE USOS MULTIPLES, EN CECYTED, EJIDO REVOLUCIÓN, HIDALGO, DURANGO","450,000.00","222,525.00",
1834,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,10,DURANGO,10,HIDALGO,"CONSTRUCCIÓN DE CANCHA DE USOS MULTIPLES, EN EJIDO BENJAMIN URIAS, HIDALGO, DURANGO.","397,913.04","196,768.00",
1835,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,10,DURANGO,10,HIDALGO,"CONSTRUCCIÓN DE DOMO, EN CECYTED, EJIDO REVOLUCION, HIDALGO, DURANGO.","702,766.96","347,518.26",
1836,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,15,MÉXICO,58,NEZAHUALCÓYOTL,REPAVIMENTACIÓN DE CALLES DEL SEGMENTO COMPRENDIDO DE LA AV. CARLOS HANK GONZÁLEZ A LA AV. VALLE ALTO Y DE BOULEVARD RÍO DE LOS REMEDIOS A LA CALLE CANCÚN.,"9,800,000.00","4,846,100.00",
1837,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,15,MÉXICO,58,NEZAHUALCÓYOTL,"CONSTRUCCIÓN DE CICLOVIA EN LAS AVENIDAS VICTOR, NUESTRA SEÑORA DE LOURDES Y 4TA. AVENIDA EN EL TRAMO DE AV. NEZAHUALCÓYOTL A LÁZARO CÁRDENAS.","9,990,000.00","4,940,055.00",
1838,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,15,MÉXICO,58,NEZAHUALCÓYOTL,REMODELACIÓN DE PARQUE RECREATIVO LAGO ATITLÁN.,"2,300,000.00","1,137,350.00",
1839,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,15,MÉXICO,58,NEZAHUALCÓYOTL,REPAVIMENTACIÓN DE CALLES DEL SEGMENTO COMPRENDIDO DE AV. TEPOZANES A AV. DE LOS REYES Y DE AV. FERROCARRIL A AV. TEXCOCO.,"9,800,000.00","4,846,100.00",
1840,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,15,MÉXICO,58,NEZAHUALCÓYOTL,REPAVIMENTACIÓN DE CALLES DEL SEGMENTO COMPRENDIDO DE AV. FERROCARRIL DEL SUR A AV. RIÓ DE LOS REMEDIOS Y DE LA AV. CARLOS HANK GONZALEZ A AV. PERIFÉRICO.,"9,800,000.00","4,846,100.00",
1841,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,15,MÉXICO,58,NEZAHUALCÓYOTL,CONSTRUCCIÓN DE POZO (DERECHOS DEL POZO 329),"9,500,000.00","4,697,750.00",
1842,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,15,MÉXICO,58,NEZAHUALCÓYOTL,"CONSTRUCCIÓN DE CICLOVIA EN LA AVENIDA LÁZARO CÁRDENAS Y AV. TEPOZANES COMUNICANDO A CALLE NORTEÑAS, CIELITO LINDO, AV. 8 Y AV. JHON F. KENNEDY.","9,900,000.00","4,895,550.00",
1843,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,15,MÉXICO,58,NEZAHUALCÓYOTL,CONSTRUCCIÓN DE CICLOVIA EN AV. NEZAHUALCÓYOTL Y 4TA. AVENIDA TRAMO DE CALLE 10 A AV. NEZAHUALCÓYOTL.,"9,980,000.00","4,935,110.00",
1844,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,15,MÉXICO,58,NEZAHUALCÓYOTL,REPAVIMENTACIÓN DE CALLES DEL SEGMENTO COMPRENDIDO DE AV. CARMELO PÉREZ A AV. TEPOZANES Y DE AV. CHIMALHUACÁN A AV. TEXCOCO,"9,800,000.00","4,846,100.00",
1845,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,15,MÉXICO,58,NEZAHUALCÓYOTL,REPAVIMENTACIÓN DE CALLES DEL SEGMENTO COMPRENDIDO DE AV. CARMELO PÉREZ A AV. TEPOZANES Y DE AV. FERROCARRIL A AV. CHIMALHUACÁN,"8,130,000.00","4,020,285.00",
1846,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,15,MÉXICO,79,SOYANIQUILPAN DE JUÁREZ,"CONSTRUCCIÓN DE PAVIMENTO DE CONCRETO HIDRÁULICO EN LA CALLE IGNACIO ALLENDE, COL. EL CAPULÍN","1,260,000.00","623,070.00",
1847,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,15,MÉXICO,79,SOYANIQUILPAN DE JUÁREZ,"CONSTRUCCIÓN DE PAVIMENTO DE CONCRETO HIDRÁULICO EN LA CALLE LOS PINOS, COL. RANCHO JESÚS MARÍA","900,000.00","445,050.00",
1848,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,15,MÉXICO,79,SOYANIQUILPAN DE JUÁREZ,"CONSTRUCCIÓN DE PAVIMENTO DE CONCRETO HIDRÁULICO EN LA CALLE EMILIANO ZAPATA, COL. EL ATORÓN","2,520,000.00","1,246,140.00",
1849,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,15,MÉXICO,79,SOYANIQUILPAN DE JUÁREZ,"CONSTRUCCIÓN DE PAVIMENTO DE CONCRETO HIDRÁULICO EN LA CALLE 1O DE MAYO, COL. LOMA DEL PERDÓN","900,000.00","445,050.00",
1850,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,15,MÉXICO,79,SOYANIQUILPAN DE JUÁREZ,"CONSTRUCCIÓN DE PAVIMENTO DE CONCRETO HIDRÁULICO EN LA CALLE ENCINOS, COL. EL CAPULÍN","1,500,000.00","741,750.00",
1851,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,15,MÉXICO,79,SOYANIQUILPAN DE JUÁREZ,"CONSTRUCCIÓN DE PAVIMENTO DE CONCRETO HIDRÁULICO EN LA CALLE GENERAL JESÚS GONZÁLEZ ORTEGA, COL. LOMA DEL PERDÓN","1,350,000.00","667,575.00",
1852,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,15,MÉXICO,79,SOYANIQUILPAN DE JUÁREZ,"CONSTRUCCIÓN DE PAVIMENTO DE CONCRETO HIDRÁULICO EN LA CALLE FRANCISCO I MADERO, COL. EL CENTRO","900,000.00","445,050.00",
1853,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,15,MÉXICO,79,SOYANIQUILPAN DE JUÁREZ,"CONSTRUCCIÓN DE PAVIMENTO DE CONCRETO HIDRÁULICO EN LA CALLE CERRADA LOS RUÍZ, COL. EL QUINTE","670,000.00","331,315.00",
1854,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,15,MÉXICO,75,SAN MARTÍN DE LAS PIRÁMIDES,REHABILITACIÓN DE ESTANCIA INFANTIL,"314,400.00","155,470.80",
1855,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,15,MÉXICO,57,NAUCALPAN DE JUÁREZ,"REHABILITACION DE LA SUPERFICIE DE RODAMIENTO DE CONCRETO HIDRAULICO DE LOS CIRCUITOS PINTORES-CIENTIFICOS-CIVICO-HISTORIADORES Y MUSICOS (PRIMERA ETAPA) DE VIA GUSTAVO BAZ A CTO ORADORES, NAUCALPAN DE JUAREZ","9,800,000.00","4,846,100.00",
1856,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,15,MÉXICO,57,NAUCALPAN DE JUÁREZ,"REHABILITACION DE LA SUPERFICIE DE RODAMIENTO DE CONCRETO HIDRAULICO DEL CIRCUITO INGENIEROS - CIRCUITO ORADORES (1ERA ETAPA), NAUCALPAN DE JUÁREZ","9,150,000.00","4,524,675.00",
1857,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,15,MÉXICO,57,NAUCALPAN DE JUÁREZ,"REHABILITACIÒN DE LA SUPERFICIE DE RODAMIENTO DE CONCRETO HIDRÀULICO EN CIRCUITO CENTRO COMERCIAL, NAUCALPAN DE JUÀREZ.","8,600,000.00","4,252,700.00",
1858,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,15,MÉXICO,57,NAUCALPAN DE JUÁREZ,"REHABILITACIÒN DE LA SUPERFICIE DE RODAMIENTO DE CONCRETO HIDRÀULICO EN CALLE SATURNO, MINAS DEL TECOLOTE","2,300,000.00","1,137,350.00",
